r, s, d
1000, 1000, 3.3648902100001123
1000, 2000, 2.328631919999907
1000, 4000, 2.309465600000067
1000, 6000, 3.2090238729999783
1000, 8000, 2.3538568099997974
1000, 10000, 2.3287535580000167
3000, 1000, 4.545030834000045
3000, 2000, 3.498363862000133
3000, 4000, 3.241096991000177
3000, 6000, 3.1933571740000843
3000, 8000, 3.1753987519998645
3000, 10000, 3.726890467999965
10000, 1000, 11.784044496999968
10000, 2000, 7.152147501000172
10000, 4000, 5.840794495999944
10000, 6000, 6.3288628180000615
10000, 8000, 6.834298411999953
10000, 10000, 8.139902923999898
30000, 1000, 32.10736568199991
30000, 2000, 17.626775210999995
30000, 4000, 13.032482358000152
30000, 6000, 13.87223029100005
30000, 8000, 14.961895627999866
30000, 10000, 15.552118329999985
100000, 1000, 104.47533637900005
100000, 2000, 53.75721506800005
100000, 4000, 34.264086745999975
100000, 6000, 37.149076315
100000, 8000, 39.43683319500019
100000, 10000, 41.53608532700014
300000, 1000, 306.373139047
300000, 2000, 156.87252796799976
300000, 4000, 85.56153214599999
300000, 6000, 97.19287059699991
300000, 8000, 103.44366270499995
300000, 10000, 106.76742130899993
